名前と入手方法,評価点
リヴァイ(獣神化),9.5
三日月宗近(神化),9.5
ノア(獣神化),9.5
ラプラス(神化),9.5
キリト(獣神化),9.5
キルア(獣神化),9.5
胡蝶しのぶ(獣神化),9.5
カヲルシ(獣神化),9.0
パンドラ(獣神化),9.0
ルシファー&カエサル(獣神化),9.0
ネテロ(獣神化),9.0
ゴン(獣神化),9.0
ソロモン(新春) (神化),9.0
ハレルヤ(神化),9.0
グングニルα(獣神化),9.0
ウリエル(獣神化改),9.0
シャーロックホームズ(進化),9.0
ミカサ(獣神化),9.0
マーリン(獣神化改),9.0
パンドラ(獣神化),9.0
緑谷出久(獣神化),9.0
大和α(獣神化),9.0
メタトロンα(獣神化),9.0
アスナ(獣神化),9.0
童子切安綱(神化),9.0
ソロモン(神化),9.0
グレイフルバスター(獣神化),9.0
風神雷神(進化),9.0
冨岡義勇(獣神化),9.0
ミロク(獣神化),9.0
ミロク(獣神化),9.0
数珠丸恒次(進化),9.0
ノストラダムス(新春) (獣神化),9.0
ノストラダムス(獣神化),9.0
ノンノα(獣神化),9.0
ハーレーX(獣神化改),9.0
ベルクーリ(獣神化),9.0
数珠丸恒次(神化),9.0
神楽(獣神化),9.0
レンブラント(獣神化),9.0
緑谷出久(獣神化改),9.0
ガブリエル(獣神化),9.0
楊貴妃(獣神化),9.0
鬼丸国綱(神化),9.0
ジン(獣神化),9.0
ロビンフッド(獣神化),9.0
アスカ(獣神化改),9.0
シンジレイ(獣神化),9.0
エクスカリバー(進化),9.0
ワトソンα(獣神化),9.0
ウリエル(獣神化改),9.0
クレオパトラ(クリスマス) (獣神化),8.5
ナイチンゲール(獣神化),8.5
ワタツミ(神化),8.5
デビルズパンク(フラパ限定) (神化),8.5
弁財天(獣神化),8.5
ナイチンゲール(イースター) (獣神化),8.5
ソロモン(進化),8.5
クーフーリン(獣神化),8.5
クレオパトラ(獣神化),8.5
アーサーMV(獣神化),8.5
弁財天(獣神化),8.5
石川五右衛門(新春) (神化),8.5
デッドラビッツ(獣神化),8.5
デビルズパンク(神化),8.5
サンダルフォン(進化),8.5
モーセ(進化),8.5
石川五右衛門(神化),8.5
モーツァルト(獣神化),8.5
モーツァルト(クリスマス) (獣神化),8.5
神威(獣神化),8.5
モーセ(神化),8.5
アスカマリ(獣神化),8.5
コルセア(獣神化),8.5
ストライク(獣神化改),8.5
神威α(獣神化),8.5
幕末リザレクション(進化),8.5
幕末リザレクション(神化),8.5
八百万百(獣神化),8.5
シノン(獣神化),8.5
SAOアリス(獣神化),8.5
ウリエル(獣神化改),8.5
ルイスキャロルα(獣神化),8.5
アミダ(神化),8.5
日番谷冬獅郎(獣神化),8.5
王昭君(獣神化),8.5
アスウリ(獣神化),8.5
大典太光世(進化),8.5
レイ(獣神化改),8.5
近藤勲＆バブルス王女(獣神化),8.5
ツタンカーメン(神化),8.5
ソロモン(新春) (進化),8.5
大典太光世(神化),8.5
アベル(進化),8.5
サタンα(獣神化),8.5
ガブリエルMV(獣神化),8.5
ガブリエル(新春) (獣神化),8.5
ガブリエル(獣神化),8.5
シモン＆カミナ(獣神化),8.5
テンペスト(獣神化),8.5
リボンα(獣神化),8.5
三日月宗近(進化),8.5
アミダ(進化),8.5
坂本龍馬(獣神化改),8.5
シンドバッド(獣神化),8.5
ケロンα(獣神化),8.5
高杉晋助＆鬼兵隊(獣神化),8.5
ガロ(獣神化),8.5
ミカエル(クリスマス) (獣神化),8.5
アリス(イースター) (獣神化),8.5
遊戯(神化),8.5
遊戯(進化),8.5
カマエル(進化),8.5
アリス(獣神化),8.5
背徳ピストルズ(フラパ限定) (神化),8.5
アリス(獣神化),8.5
卑弥呼(獣神化),8.5
ルシファーMV(獣神化),8.5
ルシファー(新春) (獣神化),8.5
小野小町(進化),8.5
小野小町(神化),8.5
卑弥呼(獣神化),8.5
ルシファー(獣神化),8.5
カマエル(クリスマス) (進化),8.5
ワルプルギス(獣神化),8.5
ワルプルギス(獣神化),8.5
纏流子＆鮮血(獣神化),8.5
テキーラα(獣神化),8.5
サンダルフォンα(獣神化),8.5
ジキル&ハイド(獣神化),8.5
アグナムート(獣神化改),8.5
アグナムートX(獣神化改),8.5
竈門炭治郎(獣神化),8.5
ラプラス(進化),8.5
爆豪勝己(獣神化改),8.5
背徳ピストルズ(神化),8.5
アポロX(獣神化),8.5
風神雷神(神化),8.5
ナポレオンMV(獣神化改),8.5
モーセ(新春) (神化),8.5
グリム兄弟α(獣神化),8.5
カイト(獣神化),8.5
茨木童子α(獣神化),8.5
アポロX(ハロウィン) (獣神化),8.5
常闇踏陰(獣神化),8.5
坂田銀時(獣神化),8.5
ムーα(獣神化),8.5
童子切安綱(進化),8.5
ユージオ(獣神化),8.5
ナポレオン(獣神化改),8.5
轟焦凍(獣神化改),8.5
ミカエル(獣神化),8.5
ディーヴァ(進化),8.5
ディーヴァ(神化),8.5
フビライハン(獣神化),8.5
モーセ(新春) (進化),8.5
ハレルヤ(進化),8.5
キスキルリラ(獣神化),8.0
リボンMV(獣神化),8.0
飛影(神化),8.0
メリオダス(神化),8.0
妲己(獣神化),8.0
エルリック兄弟(進化),8.0
ジャンヌダルク(夏限定) (獣神化),8.0
織田信長(獣神化),8.0
ジャンヌ・ダルク(獣神化),8.0
蒲公英(獣神化),8.0
チンギスハン(獣神化),8.0
武則天(神化),8.0
メタトロン(進化),8.0
桂小太郎(獣神化),8.0
武則天(進化),8.0
ベートーヴェンα(獣神化),8.0
アベル(神化),8.0
カエサル(神化),8.0
ゲンドウ冬月(獣神化),8.0
アーサー&ソロモン(獣神化),8.0
シャーロックホームズ(神化),8.0
セーラームーン(進化),8.0
ミッキー(進化),8.0
ローゼンクロイツ(進化),8.0
リコル(イースター) (獣神化),8.0
孫悟空α(獣神化),8.0
ジュリエット(クリスマス) (獣神化),8.0
セーラーヴィーナス(進化),8.0
カヲル＆シンジ(獣神化改),8.0
ミッキー(神化),8.0
黒崎一護(獣神化),8.0
ザドキエル(イースター) (神化),8.0
ザドキエル(進化),8.0
ノア&パンドラ(獣神化),8.0
媽祖(獣神化),8.0
ヴェルダンディ(イースター) (獣神化),8.0
ワタツミ(進化),8.0
ラミエル(クリスマス) (神化),8.0
ザドキエル(神化),8.0
ドナルド(進化),8.0
ナポレオンMV(獣神化),8.0
ナポレオン(獣神化),8.0
ラミエル(神化),8.0
ラミエル(進化),8.0
織田信長X(獣神化),8.0
ダルタニャン(獣神化),8.0
ダルタニャン(獣神化),8.0
ノストラダムス(新春) (進化),8.0
織田信長X(獣神化),8.0
ランスロット(夏限定) (獣神化),8.0
ノストラダムス(進化),8.0
シンジ(獣神化改),8.0
スパイダーマン(神化),8.0
